codigo_acao,codigo_elemento_despesa,codigo_favorecido,codigo_funcao,codigo_grupo_despesa,codigo_orgao,codigo_orgao_superior,codigo_programa,codigo_subfuncao,codigo_unidade_gestora,data_pagamento,data_pagamento_original,gestao_pagamento,linguagem_cidada,nome_acao,nome_elemento_despesa,nome_favorecido,nome_funcao,nome_grupo_despesa,nome_orgao,nome_orgao_superior,nome_programa,nome_subfuncao,nome_unidade_gestora,numero_documento,valor,ano,mes
20VF,33,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",4,3,25103,25000,2110,125,170339,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Fortalecimento Institucional,Passagens e Despesas com Locomoção,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Administração,Outras Despesas Correntes,RECEITA FEDERAL DO BRASIL,MINISTERIO DA FAZENDA,Programa de Gestão e Manutenção do Ministério da Fazenda,Normatização e Fiscalização,COORDENACAO-GERAL DE PESQ.INVESTIGACAO DA RFB,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",874.82,2014,7
2000,39,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",4,3,25103,25000,2110,122,170339,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Administração de unidade,Administração da Unidade,Outros Serviços de Terceiros - Pessoa Jurídica,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Administração,Outras Despesas Correntes,RECEITA FEDERAL DO BRASIL,MINISTERIO DA FAZENDA,Programa de Gestão e Manutenção do Ministério da Fazenda,Administração Geral,COORDENACAO-GERAL DE PESQ.INVESTIGACAO DA RFB,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",0.16,2014,7
2866,30,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",5,3,52121,52000,2108,183,160016,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Caráter Sigiloso,Material de Consumo,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Defesa Nacional,Outras Despesas Correntes,COMANDO DO EXERCITO,MINISTERIO DA DEFESA,Programa de Gestão e Manutenção do Ministério da Defesa,Informação e Inteligência,COMANDO DO COMANDO MILITAR DA AMAZONIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",5533.00,2014,7
2866,39,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",5,3,52121,52000,2108,183,160016,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Caráter Sigiloso,Outros Serviços de Terceiros - Pessoa Jurídica,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Defesa Nacional,Outras Despesas Correntes,COMANDO DO EXERCITO,MINISTERIO DA DEFESA,Programa de Gestão e Manutenção do Ministério da Defesa,Informação e Inteligência,COMANDO DO COMANDO MILITAR DA AMAZONIA,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",4984.26,2014,7
2866,52,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",5,4,52121,52000,2108,183,160036,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Caráter Sigiloso,Equipamentos e Material Permanente,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Defesa Nacional,Investimentos,COMANDO DO EXERCITO,MINISTERIO DA DEFESA,Programa de Gestão e Manutenção do Ministério da Defesa,Informação e Inteligência,COMANDO 6 REGIAO MILITAR,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",1576.58,2014,7
2000,30,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",5,3,52121,52000,2108,122,160062,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Administração de unidade,Administração da Unidade,Material de Consumo,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Defesa Nacional,Outras Despesas Correntes,COMANDO DO EXERCITO,MINISTERIO DA DEFESA,Programa de Gestão e Manutenção do Ministério da Defesa,Administração Geral,CENTRO DE INTELIGENCIA DO EXERCITO,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",10062.10,2014,7
20XK,30,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",5,3,52121,52000,2058,153,160062,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Logística Militar Terrestre,Material de Consumo,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Defesa Nacional,Outras Despesas Correntes,COMANDO DO EXERCITO,MINISTERIO DA DEFESA,Política Nacional de Defesa,Defesa Terrestre,CENTRO DE INTELIGENCIA DO EXERCITO,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",1637.18,2014,7
2866,30,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",5,3,52121,52000,2108,183,160062,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Ações de Caráter Sigiloso,Material de Consumo,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Defesa Nacional,Outras Despesas Correntes,COMANDO DO EXERCITO,MINISTERIO DA DEFESA,Programa de Gestão e Manutenção do Ministério da Defesa,Informação e Inteligência,CENTRO DE INTELIGENCIA DO EXERCITO,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",165.00,2014,7
2000,39,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",5,3,52121,52000,2108,122,160062,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Administração de unidade,Administração da Unidade,Outros Serviços de Terceiros - Pessoa Jurídica,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Defesa Nacional,Outras Despesas Correntes,COMANDO DO EXERCITO,MINISTERIO DA DEFESA,Programa de Gestão e Manutenção do Ministério da Defesa,Administração Geral,CENTRO DE INTELIGENCIA DO EXERCITO,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",527476.34,2014,7
8965,39,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",5,3,52121,52000,2058,128,160062,,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado","Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",,Capacitação Profissional Militar do Exército Brasileiro,Outros Serviços de Terceiros - Pessoa Jurídica,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",Defesa Nacional,Outras Despesas Correntes,COMANDO DO EXERCITO,MINISTERIO DA DEFESA,Política Nacional de Defesa,Formação de Recursos Humanos,CENTRO DE INTELIGENCIA DO EXERCITO,"Informações protegidas por sigilo, nos termos da legislação, para garantia da segurança da sociedade e do Estado",11844.50,2014,7
